id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
10097934,Exceptional Designer Victorian / Near METRO Subway,25197983,Nya,,"Shaw, Logan Circle",38.91216,-77.02359,Entire home/apt,397,2,323,2024-03-11,3.24,1,149,34,Exempt
10104715,Private Basement Studio Apartment in DC Near Metro,51854674,Nigel,,"River Terrace, Benning, Greenway, Dupont Park",38.89019,-76.93841,Entire home/apt,111,1,35,2022-10-02,0.38,1,0,0,Hosted License: 5007242201000599
10384001,2BR - Near Corridor / DC Streetcar / Union Station,44636030,David,,"Union Station, Stanton Park, Kingman Park",38.89321,-76.99934,Private room,228,2,194,2024-03-10,1.98,1,32,16,Hosted License: 5007242201001932
10403348,Travelers Trove' Sleeps 6 in Shaw,46630199,Home Sweet City,,"Howard University, Le Droit Park, Cardozo/Shaw",38.91573,-77.02538,Entire home/apt,,3,374,2024-03-10,3.75,67,176,42,Hosted License: 5007242201001335
10405545,Bright Sunny Capitol Hill Studio,53580080,Dunniela,,"Capitol Hill, Lincoln Park",38.8874605,-76.9992831,Hotel room,167,2,125,2024-03-08,1.28,12,248,46,Exempt
10436526,Beautiful Columbia Heights apartment!,53759813,Dotti,,"Columbia Heights, Mt. Pleasant, Pleasant Plains, Park View",38.92675,-77.02872,Entire home/apt,156,2,298,2023-11-16,3.04,1,234,18,Hosted License: 5007242201001846
10453467,Lovely room in historic row house,53857552,Kimberly,,"Brightwood Park, Crestwood, Petworth",38.94347,-77.03499,Private room,75,31,66,2019-05-27,0.66,1,365,0,
10526371,"Historic Home Next to Capitol, Walk to Everything",18393059,Aaron,,"Capitol Hill, Lincoln Park",38.88299,-77.00673,Entire home/apt,251,1,537,2024-03-03,5.56,2,318,61,Exempt
10542403,Cozy Home in Capitol Hill/H St.,54362762,Pia And Ben,,"Union Station, Stanton Park, Kingman Park",38.89909,-76.98726,Entire home/apt,130,4,279,2023-11-24,2.96,1,45,18,Hosted License: 5007242201001388
10543751,Newly renovated Capitol Hill studio #302,53580080,Dunniela,,"Capitol Hill, Lincoln Park",38.88759,-76.99931,Entire home/apt,127,31,56,2023-07-16,0.57,12,334,1,Exempt
10543985,Gorgeous 1 BD in Capitol Hill,53580080,Dunniela,,"Capitol Hill, Lincoln Park",38.8874721,-76.999219,Entire home/apt,235,31,75,2024-03-20,0.76,12,229,16,Exempt
10544363,Newly renovated 1 BD near Capitol,53580080,Dunniela,,"Capitol Hill, Lincoln Park",38.88745,-76.99925,Entire home/apt,508,2,75,2023-07-05,0.77,12,204,5,Exempt
10617103,"National Mall, Monuments & Museums",5326343,Michael,,"Southwest Employment Area, Southwest/Waterfront, Fort McNair, Buzzard Point",38.88255,-77.02036,Entire home/apt,385,31,178,2023-07-15,1.82,1,364,4,
10626368,Close2Everything/Freeparking/HipNeighborhood,16794398,Jennifer,,"Capitol Hill, Lincoln Park",38.88335,-76.9851,Entire home/apt,123,2,446,2024-03-08,4.53,1,81,63,Hosted License: 5007242201000574
10659762,Private Eco Apartment,10663585,Eduardo & Karen,,"Hawthorne, Barnaby Woods, Chevy Chase",38.9618,-77.07617,Entire home/apt,85,31,121,2023-06-20,1.34,2,140,1,
10685388,"Sunny private bedroom in Washington, DC",4746,Holly,,"Edgewood, Bloomingdale, Truxton Circle, Eckington",38.91216,-77.00809,Private room,60,1,152,2024-02-27,1.55,1,154,22,Hosted License: 5007242201000821
10694497,Swank Uptown Apartment,55252534,Christopher,,"Brightwood Park, Crestwood, Petworth",38.93834,-77.02664,Entire home/apt,156,2,125,2024-03-17,1.51,1,61,21,Hosted License: 5007242201000732
10860997,Capitol Hill Townhome - Venice Bdrm,46326018,Pamela,,"Union Station, Stanton Park, Kingman Park",38.89411,-76.98617,Private room,118,2,103,2023-11-11,1.11,3,270,5,Hosted License: 5007242201002441
10875641,Family Friendly Cleveland Park by the Metro & Zoo!,344019,Gabrielle,,"North Cleveland Park, Forest Hills, Van Ness",38.94221878051758,-77.05854797363281,Entire home/apt,178,2,85,2024-03-10,0.87,1,289,16,Hosted License: 5007242201002387
10999657,Elegant home near the Cathedral,53610057,Julie,,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93031,-77.07285,Entire home/apt,204,31,158,2023-08-23,1.67,1,46,2,
11036034,"Cleveland Park, Great View & Steps to Metro",57270424,Liliya,,"Cleveland Park, Woodley Park, Massachusetts Avenue Heights, Woodland-Normanstone Terrace",38.93628,-77.05768,Entire home/apt,,60,6,2019-11-15,0.06,1,74,0,
11087176,Studio in the heart of Adams Morgan,34403,Bill,,"Kalorama Heights, Adams Morgan, Lanier Heights",38.92219,-77.04127,Entire home/apt,89,31,56,2023-07-31,0.57,2,364,1,
