listing_id,host_id,neighbourhood_id,latitude,longitude,accommodates,bathrooms,bedrooms,beds,price
27548833,1005751,34,38.829856872558594,-76.99614715576172,2,1.0,1.0,1.0,37.0
27566914,44535307,10,38.91885,-77.034,3,1.0,1.0,1.0,135.0
27570172,162230628,11,38.95851986396764,-77.01842370444187,2,1.0,1.0,1.0,65.0
27577456,200902664,16,38.89525,-76.97209,4,1.0,1.0,1.0,125.0
27579183,105502689,15,38.90006,-77.018,6,2.0,2.0,2.0,279.0
27705648,21077344,2,38.88529,-76.98682,2,1.0,0.0,2.0,98.0
27771577,5487930,4,38.91841,-77.0405,2,1.5,1.0,1.0,93.0
27775041,5448602,25,38.96679,-77.07738,3,1.0,1.0,3.0,68.0
27812605,487806,13,38.91142,-77.04789,4,2.0,2.0,3.0,102.0
27812793,487806,4,38.91358,-77.04788,2,1.0,1.0,1.0,88.0
27886490,126463962,16,38.89539,-77.00261,4,1.0,2.0,2.0,252.0
27937041,12928262,18,38.92188,-77.03421,4,,2.0,,
27991634,75651715,18,38.93443,-77.03785,7,,4.0,,
28109182,14905129,4,38.91996,-77.04683,2,,1.0,,
28154722,94568899,5,38.94225,-77.03537,3,1.0,1.0,2.0,125.0
28180978,207573176,5,38.94295,-77.03489,4,,2.0,,
28219027,12986558,1,38.9129,-77.0124,2,,1.0,,
28227027,43721722,18,38.93348,-77.03344,3,,2.0,,
28242044,315148,18,38.9366,-77.02311,1,2.0,1.0,1.0,39.0
28253557,213398164,4,38.91962,-77.03898,2,1.0,1.0,2.0,130.0
28257191,143780236,13,38.91528,-77.03678,5,,2.0,,
28303977,9286163,7,38.92169,-77.07639,3,1.0,1.0,1.0,99.0
28316665,200421571,18,38.92486,-77.02438,1,1.0,1.0,1.0,60.0
28434873,200421571,9,38.91048,-77.03237,1,1.0,1.0,1.0,61.0
28435119,17633,6,38.92091,-77.10004,6,3.5,5.0,5.0,315.0
28480971,169664944,28,38.92157,-76.97284,2,2.0,3.0,3.0,30.0
28493426,113851583,14,38.88454,-76.92899,6,1.0,2.0,2.0,133.0
28500848,102274654,1,38.91313,-77.01231,1,1.0,1.0,1.0,51.0
28563385,16913670,13,38.91097,-77.04358,1,1.0,1.0,1.0,105.0
28564940,7739180,7,38.91747,-77.07319,4,1.0,1.0,1.0,125.0
28606289,147252541,2,38.8913,-76.99474,8,2.0,2.0,2.0,244.0
28679737,107434423,15,38.8955221,-77.0227607,2,1.0,1.0,1.0,160.0
28692012,159644445,18,38.93577,-77.03147,2,1.0,1.0,1.0,72.0
28737965,68075987,16,38.89413,-76.99503,2,1.0,0.0,1.0,160.0
28738052,12928262,13,38.91306,-77.04639,7,1.0,2.0,4.0,205.0
28786757,30984226,16,38.89733,-77.00313,2,1.0,1.0,1.0,120.0
28790411,163362419,34,38.84093,-76.99077,1,1.0,1.0,1.0,70.0
28838584,153142984,18,38.92998,-77.02022,6,,3.0,,
28863314,46630199,9,38.91328,-77.0179,10,2.5,2.0,3.0,251.0
28895568,2761762,2,38.8912,-76.9919,4,1.0,1.0,4.0,125.0
28897052,217836431,14,38.88937,-76.93542,1,1.0,1.0,1.0,48.0
28928881,50382469,1,38.91053,-77.01065,2,1.0,1.0,1.0,107.0
29002608,1694546,16,38.89809,-76.99012,2,1.0,1.0,1.0,105.0
29082182,169664944,28,38.92176,-76.97445,2,2.0,1.0,1.0,33.0
29122757,1642853,2,38.88801,-76.99496,2,1.0,0.0,2.0,175.0
29151289,219448248,2,38.88176,-76.99215,4,1.0,1.0,2.0,147.0
29162686,20323095,36,38.92424,-76.96537,4,1.0,2.0,2.0,140.0
29181009,219886117,22,38.94349,-77.09048,4,1.0,1.0,2.0,145.0
29206059,12996810,9,38.91155,-77.02823,2,,1.0,,
29216006,217836431,14,38.88981,-76.93729,1,1.0,1.0,1.0,44.0
29236747,36954423,18,38.92938,-77.03038,6,,2.0,,
29240788,220297433,19,38.84782,-76.98221,6,1.0,3.0,4.0,160.0
29339623,38387831,29,38.86972,-76.98371,6,1.0,2.0,2.0,207.0
29364369,102274654,1,38.91207,-77.01393,1,1.0,1.0,1.0,64.0
29394566,208577817,2,38.8854,-76.98109,7,1.5,3.0,4.0,296.0
29487241,86401186,16,38.90386,-76.99825,1,1.5,1.0,1.0,84.0
29487264,3806067,1,38.91303,-77.01163,6,,3.0,,
29629930,46630199,10,38.91469,-77.01952,6,2.0,2.0,4.0,217.0
29673231,221366791,28,38.9276,-76.9732,3,1.0,2.0,4.0,108.0
29701036,4365896,8,38.95013,-77.01373,4,1.0,1.0,1.0,128.0
29739564,4807337,1,38.92187,-77.01003,3,1.0,1.0,2.0,170.0
29775784,201365580,13,38.9111,-77.03546,2,,,,
29802594,3952319,1,38.91305,-77.01624,6,1.0,1.0,1.0,144.0
29804690,8833997,18,38.92687,-77.02399,4,,2.0,,
29853236,69203193,2,38.88059,-76.99239,3,1.0,1.0,1.0,90.0
29856280,425737,1,38.91963958740234,-77.01187896728516,2,1.0,1.0,1.0,115.0
29895484,9286163,7,38.92261,-77.07655,2,1.0,1.0,1.0,105.0
29896156,107434423,23,38.905065,-77.051708,2,,1.0,,
29923648,1157189,17,38.90818,-77.06432,7,2.5,3.0,4.0,617.0
29942074,46630199,2,38.88522,-76.98654,3,1.0,0.0,2.0,88.0
29964176,9286163,7,38.92287,-77.07472,3,1.0,1.0,2.0,99.0
29966209,4492,5,38.94155,-77.02228,4,1.0,1.0,2.0,99.0
30101500,225095373,13,38.91466,-77.03836,3,1.0,1.0,1.0,160.0
30115570,128066863,2,38.89135,-76.99863,3,1.0,0.0,2.0,119.0
30128318,2453278,5,38.95541,-77.01277,2,,1.0,,
30178288,17633,13,38.91245,-77.04633,4,1.0,1.0,2.0,173.0
30179598,17633,13,38.91323,-77.04696,5,1.0,2.0,4.0,235.0
30246992,31647289,1,38.90944,-77.01391,2,1.0,0.0,1.0,113.0
30251286,487806,13,38.91193,-77.0462,6,2.0,2.0,3.0,136.0
30253483,12287205,16,38.89593,-76.98859,4,1.0,1.0,1.0,136.0
30289153,224561145,9,38.90947,-77.0277,2,1.5,1.0,1.0,134.0
30324130,97534451,13,38.9147,-77.03767,4,,2.0,,
30325364,216497948,17,38.90777,-77.06296,4,1.0,2.0,2.0,193.0
30377034,73190345,1,38.91067,-77.00862,3,1.0,1.0,3.0,175.0
30378859,25314348,13,38.91301,-77.04639,5,2.0,2.0,3.0,160.0
30394567,21570891,17,38.90653,-77.06284,4,1.0,1.0,2.0,152.0
30395396,107434423,15,38.90394,-77.01724,2,1.0,1.0,1.0,177.0
30554194,5115635,2,38.87918,-76.98435,3,1.0,1.0,2.0,99.0
30555599,135373553,2,38.8795,-76.98684,8,0.0,4.0,5.0,315.0
30557727,146624030,2,38.87729,-76.9879,6,1.0,1.0,1.0,29.0
30739175,20285809,1,38.91024,-77.01436,6,,2.0,,
30739818,487806,4,38.91315,-77.04798,2,1.0,1.0,1.0,104.0
30740961,487806,4,38.91346,-77.04798,2,1.0,1.0,1.0,101.0
30765894,80330538,36,38.93292,-76.96539,1,1.5,4.0,6.0,50.0
30775571,46582948,15,38.89994,-77.01103,7,2.0,2.0,3.0,212.0
30798257,230413534,17,38.90976,-77.06267,3,1.0,1.0,3.0,226.0
30812242,7181747,18,38.93079,-77.02782,2,1.0,1.0,2.0,130.0
30824111,230569854,21,38.89211,-76.95391,2,1.5,1.0,1.0,51.0
30952933,36982214,13,38.91518,-77.03684,2,1.0,0.0,1.0,175.0
30958606,4474955,26,38.95254,-76.99578,2,,,,
30981199,3448315,2,38.87965,-76.98712,5,1.0,1.0,2.0,411.0
30984676,55835374,5,38.95138,-77.01365,2,,,,
30989473,966723,16,38.90622,-76.9991,3,1.0,1.0,2.0,115.0
31016026,46630199,9,38.91257,-77.02189,4,1.0,1.0,2.0,160.0
31016474,17741442,31,38.90228,-76.98597,4,1.0,1.0,2.0,89.0
31066028,33664909,16,38.8962,-76.99241,4,,2.0,,
31088980,27789799,34,38.84022,-76.99312,2,1.5,1.0,1.0,83.0
31125533,46151252,5,38.94542,-77.01953,4,1.0,0.0,2.0,89.0
31189367,46630199,1,38.91507,-77.01146,5,1.0,1.0,2.0,135.0
31191457,233203296,8,38.963036,-76.999519,3,1.0,1.0,2.0,76.0
31202974,134792083,11,38.97239,-77.02119,2,1.0,1.0,1.0,75.0
31222679,27241272,1,38.91383,-77.0088,2,1.0,1.0,1.0,150.0
31223204,159839010,18,38.92482,-77.02338,2,1.0,1.0,2.0,85.0
31236410,19574474,15,38.904930114746094,-77.01924896240234,4,1.0,1.0,1.0,250.0
31241819,233733884,29,38.8725,-76.98202,5,1.0,2.0,3.0,140.0
31249608,23455172,31,38.90345,-76.99064,8,2.5,3.0,4.0,297.0
31281765,16325168,22,38.95614,-77.07947,5,,3.0,,
31310107,159839010,18,38.92482,-77.02338,2,1.0,1.0,1.0,70.0
31313892,159839010,18,38.92554,-77.02332,2,0.0,0.0,2.0,75.0
31315484,159839010,18,38.92482,-77.02338,1,1.0,1.0,1.0,60.0
31332079,195016684,2,38.8883,-76.98516,2,,1.0,,
