listing_id,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,first_review,last_review,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,reviews_per_month,review_scores_value
1095691386780996140,14,14,5,2024-03-14,2024-06-15,4.71,4.86,4.79,4.71,4.93,4.07,4.2,4.43
1095889455791332297,6,6,1,2024-03-01,2024-06-03,4.5,4.67,4.5,4.67,4.5,4.33,1.59,4.33
1095894205337116894,3,3,1,2024-03-02,2024-06-04,3.67,3.67,3.0,4.33,4.33,2.0,0.8,3.67
1095924154776477613,15,15,2,2024-02-25,2024-06-17,4.87,4.93,4.93,4.93,5.0,4.73,3.81,4.8
1095980051753154199,1,1,0,2024-03-02,2024-03-02,5.0,5.0,5.0,5.0,5.0,5.0,0.27,5.0
1095980060549358036,0,0,0,,,,,,,,,,
1095980069560836760,2,2,0,2024-03-22,2024-05-20,4.0,4.5,5.0,4.5,4.5,5.0,0.65,4.0
1095980078561540373,3,3,0,2024-03-13,2024-03-27,4.67,4.33,5.0,5.0,5.0,5.0,0.89,4.67
1095981802274364809,3,3,0,2024-03-31,2024-05-08,3.0,2.67,3.67,3.67,3.67,3.0,1.08,3.0
1095981969508342326,11,11,0,2024-03-19,2024-05-19,5.0,4.91,5.0,4.45,5.0,5.0,3.47,4.82
1096015242722744689,1,1,1,2024-06-07,2024-06-07,4.0,5.0,5.0,5.0,3.0,5.0,1.0,5.0
1096015251647558719,1,1,0,2024-03-29,2024-03-29,5.0,5.0,5.0,5.0,4.0,5.0,0.35,5.0
1096015260384231688,1,1,0,2024-04-21,2024-04-21,5.0,5.0,5.0,4.0,4.0,5.0,0.48,4.0
1096015268174094496,1,1,0,2024-05-19,2024-05-19,4.0,5.0,4.0,5.0,5.0,5.0,0.88,3.0
1096015314836973084,1,1,0,2024-04-28,2024-04-28,5.0,5.0,5.0,5.0,5.0,5.0,0.55,5.0
1096027248336676065,1,1,0,2024-04-01,2024-04-01,5.0,5.0,5.0,5.0,5.0,5.0,0.37,5.0
1096478961338919740,2,2,2,2024-06-05,2024-06-13,5.0,5.0,5.0,5.0,5.0,5.0,2.0,5.0
1097004848340434913,11,11,1,2024-03-07,2024-06-06,5.0,5.0,5.0,5.0,5.0,5.0,3.08,5.0
1097080179669038434,5,5,0,2024-03-09,2024-05-19,5.0,5.0,5.0,5.0,4.8,5.0,1.43,4.8
1097174749460236760,19,19,7,2024-03-03,2024-06-03,4.68,4.84,4.89,4.58,4.32,4.89,5.14,4.58
1097178613626418366,10,10,2,2024-04-09,2024-06-16,5.0,5.0,5.0,5.0,5.0,5.0,4.05,4.89
1097181259405947071,2,2,0,2024-03-31,2024-05-04,5.0,5.0,5.0,5.0,5.0,4.5,0.72,5.0
1097184445763811063,1,1,1,2024-06-06,2024-06-06,5.0,,,,,,1.0,
1097324487163069579,0,0,0,,,,,,,,,,
1097780713557830023,25,25,3,2024-03-05,2024-06-13,4.96,4.92,5.0,5.0,5.0,4.92,6.88,4.92
1097829065135444178,2,2,0,2024-03-30,2024-04-16,5.0,5.0,5.0,5.0,5.0,5.0,0.71,5.0
1097829073750201166,2,2,0,2024-03-14,2024-03-26,4.5,4.5,5.0,4.5,4.0,5.0,0.6,4.5
1097829082388603186,6,6,0,2024-03-02,2024-03-19,4.67,4.83,4.83,4.83,4.67,4.83,1.61,4.67
1097829089722727200,1,1,0,2024-03-18,2024-03-18,5.0,5.0,5.0,5.0,3.0,5.0,0.31,5.0
